Player,ERA,# All Star Appearances,Hall of Fame Induction Year
blylebe01,3.454166666666667,48,2011
boggswa01,3.375,24,2005
bunniji01,3.5655555555555556,144,1996
carltst01,3.9862962962962962,135,1994
deandi01,3.936666666666667,48,1953
drysddo01,3.047142857142857,112,1984
eckerde01,3.4703999999999997,150,2004
fellebo01,3.3822222222222225,90,1962
fingero01,4.314705882352942,85,1992
fordwh01,2.6725000000000003,96,1974
foxxji01,0.795,14,1951
gibsobo01,3.1458823529411766,102,1981
glavito02,3.706363636363636,132,2014
gomezle01,3.9285714285714284,70,1972
gossari01,3.1999999999999997,138,2008
grovele01,3.2641176470588236,51,1947
hubbeca01,3.13625,80,1947
hunteca01,3.476,90,1987
jenkife01,3.3890000000000002,40,1991
johnsra05,3.4808333333333334,192,2015
koufasa01,3.1416666666666666,48,1972
lemonbo01,3.4246153846153846,52,1976
lyonste01,3.755238095238095,0,1955
maddugr01,3.3844,100,2014
maricju01,3.7131250000000002,128,1983
martipe02,2.998333333333333,54,2015
musiast01,0.0,24,1969
newhoha01,3.371764705882353,85,1992
niekrph01,4.098461538461538,52,1997
paigesa01,2.8183333333333334,6,1971
palmeji01,3.3221052631578947,95,1990
perryga01,3.396,125,1991
roberro01,3.555714285714285,105,1976
ruffire01,4.017826086956522,69,1967
ruthba01,3.6799999999999997,20,1936
ryanno01,3.694074074074074,135,1999
seaveto01,3.036818181818182,176,1992
smoltjo01,3.51,132,2015
spahnwa01,3.277727272727273,154,1973
suttebr01,3.079166666666667,48,2006
suttodo01,3.3092,100,1998
wilheho01,3.253076923076923,52,1985
willite01,4.5,18,1966
wynnea01,3.570869565217391,161,1972
